# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	1.000000e+00	7.926160e-02	5	1.000000e+00	7.526940e-02	6	1.000000e+00	8.601130e-02	6	false	GAMG	1.000000e+00	7.633870e-03	11	true
2             	smoothSolver	5.351530e-01	3.289020e-02	3	6.206400e-01	3.290480e-02	3	6.918200e-01	6.591710e-02	2	false	GAMG	8.955930e-04	6.220290e-06	5	true
3             	smoothSolver	3.545590e-01	2.494650e-02	3	3.734580e-01	2.650130e-02	3	6.405140e-01	3.188050e-02	3	false	GAMG	6.827980e-04	4.461670e-06	6	true
4             	smoothSolver	1.616890e-01	1.220440e-02	4	1.838280e-01	1.642510e-02	3	4.832690e-01	2.390560e-02	3	false	GAMG	4.173540e-04	2.628520e-06	5	true
5             	smoothSolver	1.058840e-01	1.035340e-02	3	1.275460e-01	1.005570e-02	3	3.728940e-01	1.976400e-02	3	false	GAMG	4.027710e-04	3.119160e-06	4	true
6             	smoothSolver	6.684670e-02	4.608340e-03	4	8.190070e-02	6.495010e-03	3	2.621540e-01	1.448270e-02	3	false	GAMG	3.582090e-04	2.186720e-06	4	true
7             	smoothSolver	4.814010e-02	4.657790e-03	3	6.019700e-02	4.539300e-03	3	2.047220e-01	1.150940e-02	3	false	GAMG	3.246080e-04	2.603360e-06	3	true
8             	smoothSolver	3.722720e-02	3.447530e-03	3	4.485050e-02	3.307290e-03	3	1.585860e-01	8.847380e-03	3	false	GAMG	2.869700e-04	2.297620e-06	3	true
9             	smoothSolver	3.030660e-02	2.683570e-03	3	3.597860e-02	2.475180e-03	3	1.324550e-01	7.208700e-03	3	false	GAMG	2.512060e-04	1.740590e-06	3	true
10            	smoothSolver	2.525700e-02	2.167840e-03	3	2.940180e-02	1.943820e-03	3	1.086230e-01	5.792310e-03	3	false	GAMG	2.200150e-04	1.049550e-06	3	true
11            	smoothSolver	2.159400e-02	1.778170e-03	3	2.452620e-02	1.558280e-03	3	9.178720e-02	4.723240e-03	3	false	GAMG	1.931030e-04	9.363120e-07	3	true
